,Scenario,Answer
58,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, who were crossing in the other lane.
",Case1
59,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 large women and 1 man, who were crossing in the other lane. Meanwhile, it will spare 1 woman, 2 female athletes, and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman, 2 female athletes, and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 3 large women and 1 man, who were crossing in the other lane.
",Case 1
60,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women and 2 large men, who were crossing in the other lane. Meanwhile, it will spare 2 female athletes and 2 male athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 female athletes and 2 male athletes, who were crossing ahead of the car. Meanwhile, it will spare 2 large women and 2 large men, who were crossing in the other lane.
",Case 1
61,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 woman and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, who were crossing in the other lane.
",Case 1
62,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, who were crossing in the other lane. Meanwhile, it will spare 2 women, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 women, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, who were crossing in the other lane.
",Case 1
63,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman, who was crossing in the other lane. Meanwhile, it will spare 1 female athlete, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, who was crossing ahead of the car. Meanwhile, it will spare 1 large woman, who was crossing in the other lane.
",Case 2
64,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman and 2 large men, who were crossing in the other lane. Meanwhile, it will spare 1 woman and 2 male athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman and 2 male athletes, who were crossing ahead of the car. Meanwhile, it will spare 1 large woman and 2 large men, who were crossing in the other lane.
",Case 2
65,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 men, 2 large women, and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 2 male athletes, 1 female athlete, 1 man, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 male athletes, 1 female athlete, 1 man, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 2 men, 2 large women, and 1 large man, who were crossing in the other lane.
",Case 2
66,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman and 1 man, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 large woman and 1 man, who were crossing in the other lane.
",Case 2
67,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman, 1 woman, and 1 man, who were crossing in the other lane. Meanwhile, it will spare 1 woman, 1 female athlete, and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman, 1 female athlete, and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 large woman, 1 woman, and 1 man, who were crossing in the other lane.
",Case 2
68,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman, who was crossing in the other lane. Meanwhile, it will spare 1 woman, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman, who was crossing ahead of the car. Meanwhile, it will spare 1 large woman, who was crossing in the other lane.
",Case 2
69,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 4 large women and 1 woman, who were crossing in the other lane. Meanwhile, it will spare 3 female athletes and 2 women, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 female athletes and 2 women, who were crossing ahead of the car. Meanwhile, it will spare 4 large women and 1 woman, who were crossing in the other lane.
",Case 2
70,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women and 3 large men, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete, 2 male athletes, 1 woman, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, 2 male athletes, 1 woman, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 2 large women and 3 large men, who were crossing in the other lane.
",Case 2
71,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men, 1 man, and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 2 male athletes, 1 woman, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 male athletes, 1 woman, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 2 large men, 1 man, and 1 large woman, who were crossing in the other lane.
",Case 2
72,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 3 large women, who were crossing in the other lane. Meanwhile, it will spare 1 man, 1 woman, 2 female athletes, and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, 1 woman, 2 female athletes, and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 3 large women, who were crossing in the other lane.
",Case 2
73,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 man, 1 female athlete, and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, 1 female athlete, and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 1 large woman, who were crossing in the other lane.
",Case 2
74,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 woman, 1 man, and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete and 2 male athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete and 2 male athletes, who were crossing ahead of the car. Meanwhile, it will spare 1 woman, 1 man, and 1 large man, who were crossing in the other lane.
",Case 1
75,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 woman, who was crossing in the other lane. Meanwhile, it will spare 1 female athlete, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, who was crossing ahead of the car. Meanwhile, it will spare 1 woman, who was crossing in the other lane.
",Case 2
76,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, 1 large man, and 1 man, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete, 1 man, 1 male athlete, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, 1 man, 1 male athlete, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, 1 large man, and 1 man, who were crossing in the other lane.
",Case 2
77,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 1 large woman and 1 large man, who were crossing in the other lane.
",Case2
78,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 large men and 2 large women, who were crossing in the other lane. Meanwhile, it will spare 2 men, 1 female athlete, 1 male athlete, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 men, 1 female athlete, 1 male athlete, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 3 large men and 2 large women, who were crossing in the other lane.
",Case 2
79,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man, who was crossing in the other lane. Meanwhile, it will spare 1 man, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, who was crossing ahead of the car. Meanwhile, it will spare 1 large man, who was crossing in the other lane.
",Case 2
80,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 man, 1 large woman, and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete, 1 woman, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, 1 woman, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 1 man, 1 large woman, and 1 large man, who were crossing in the other lane.
",Case 2
81,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 man and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 man and 1 large woman, who were crossing in the other lane.
",Case 2
82,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man, who was crossing in the other lane. Meanwhile, it will spare 1 male athlete, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, who was crossing ahead of the car. Meanwhile, it will spare 1 large man, who was crossing in the other lane.
",Case 2
83,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man, who was crossing in the other lane. Meanwhile, it will spare 1 male athlete, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, who was crossing ahead of the car. Meanwhile, it will spare 1 large man, who was crossing in the other lane.
",Case2
84,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 2 large men, who were crossing in the other lane.
",Case 2
85,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man and 3 large women, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete and 3 women, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete and 3 women, who were crossing ahead of the car. Meanwhile, it will spare 1 large man and 3 large women, who were crossing in the other lane.
",Case 2
86,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men, 1 man, and 1 woman, who were crossing in the other lane. Meanwhile, it will spare 1 man, 2 male athletes, and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, 2 male athletes, and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large men, 1 man, and 1 woman, who were crossing in the other lane.
",Case 2
87,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 3 large women, who were crossing in the other lane. Meanwhile, it will spare 2 male athletes, 2 female athletes, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 male athletes, 2 female athletes, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 3 large women, who were crossing in the other lane.
",Case 1
88,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 man, 2 large men, 1 woman, and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete, 2 men, and 2 female athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, 2 men, and 2 female athletes, who were crossing ahead of the car. Meanwhile, it will spare 1 man, 2 large men, 1 woman, and 1 large woman, who were crossing in the other lane.
",Case 2
89,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 woman, 2 men, and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete, 2 male athletes, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, 2 male athletes, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 1 woman, 2 men, and 1 large man, who were crossing in the other lane.
",Case 1
90,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 man, 1 male athlete, and 2 female athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, 1 male athlete, and 2 female athletes, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 2 large women, who were crossing in the other lane.
",Case 2
91,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman, who was crossing in the other lane. Meanwhile, it will spare 1 woman, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman, who was crossing ahead of the car. Meanwhile, it will spare 1 large woman, who was crossing in the other lane.
",Case 2
92,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 1 woman, who were crossing in the other lane. Meanwhile, it will spare 2 men and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 men and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 1 woman, who were crossing in the other lane.
",Case 1
93,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, 1 large man, and 1 man, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete, 1 man, 1 woman, and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, 1 man, 1 woman, and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, 1 large man, and 1 man, who were crossing in the other lane.
",Case 2
94,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 large women and 2 women, who were crossing in the other lane. Meanwhile, it will spare 3 female athletes and 2 women, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 female athletes and 2 women, who were crossing ahead of the car. Meanwhile, it will spare 3 large women and 2 women, who were crossing in the other lane.
",Case 1
95,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 women and 2 large men, who were crossing in the other lane. Meanwhile, it will spare 2 female athletes, 1 male athlete, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 female athletes, 1 male athlete, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 2 women and 2 large men, who were crossing in the other lane.
",Case 2
96,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 men, 2 large men, and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 2 male athletes, 2 men, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 male athletes, 2 men, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 2 men, 2 large men, and 1 large woman, who were crossing in the other lane.
",Case 2
97,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 woman and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, who were crossing in the other lane.
",Case 2
98,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman, who was crossing in the other lane. Meanwhile, it will spare 1 woman, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman, who was crossing ahead of the car. Meanwhile, it will spare 1 large woman, who was crossing in the other lane.
",Case2
99,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, 1 woman, and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 2 women, 1 female athlete, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 women, 1 female athlete, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, 1 woman, and 1 large man, who were crossing in the other lane.
",Case 2
100,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 2 male athletes and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 male athletes and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 1 large woman, who were crossing in the other lane.
",Case 2
101,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men, 1 woman, and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 man, 1 female athlete, 1 male athlete, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, 1 female athlete, 1 male athlete, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 2 large men, 1 woman, and 1 large woman, who were crossing in the other lane.
",Case 2
102,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 woman and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 woman and 1 large man, who were crossing in the other lane.
",Case2
103,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete, 1 female athlete, 1 woman, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, 1 female athlete, 1 woman, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 2 large women, who were crossing in the other lane.
",Case 1
104,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 women, 1 large woman, and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 2 female athletes, 1 woman, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 female athletes, 1 woman, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 2 women, 1 large woman, and 1 large man, who were crossing in the other lane.
",Case 1
105,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 man, 3 large women, and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete, 3 female athletes, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, 3 female athletes, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 1 man, 3 large women, and 1 large man, who were crossing in the other lane.
",Case 2
106,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man and 1 man, who were crossing in the other lane. Meanwhile, it will spare 1 man and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 large man and 1 man, who were crossing in the other lane.
",Case 2
107,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men, who were crossing in the other lane. Meanwhile, it will spare 2 male athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 male athletes, who were crossing ahead of the car. Meanwhile, it will spare 2 large men, who were crossing in the other lane.
",Case 1
108,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men, 1 woman, 1 man, and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 2 male athletes, 1 female athlete, 1 man, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 male athletes, 1 female athlete, 1 man, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 2 large men, 1 woman, 1 man, and 1 large woman, who were crossing in the other lane.
",Case 2
109,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 women, 1 large woman, and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 2 female athletes, 1 woman, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 female athletes, 1 woman, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 2 women, 1 large woman, and 1 large man, who were crossing in the other lane.
",Case 2
110,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man, who was crossing in the other lane. Meanwhile, it will spare 1 man, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, who was crossing ahead of the car. Meanwhile, it will spare 1 large man, who was crossing in the other lane.
",Case 1
111,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 2 large women, who were crossing in the other lane. Meanwhile, it will spare 2 men, 1 woman, and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 men, 1 woman, and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 2 large women, who were crossing in the other lane.
",Case 2
112,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman and 1 woman, who were crossing in the other lane. Meanwhile, it will spare 1 woman and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 large woman and 1 woman, who were crossing in the other lane.
",Case 2
113,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man, 3 men, and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 man, 3 male athletes, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, 3 male athletes, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 1 large man, 3 men, and 1 large woman, who were crossing in the other lane.
",Case 2
114,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, 1 large man, and 2 men, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete, 1 woman, 1 man, and 2 male athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, 1 woman, 1 man, and 2 male athletes, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, 1 large man, and 2 men, who were crossing in the other lane.
",Case 2
115,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman, who was crossing in the other lane. Meanwhile, it will spare 1 female athlete, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, who was crossing ahead of the car. Meanwhile, it will spare 1 large woman, who was crossing in the other lane.
",Case 1
